name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Johnelle Hunt,Hunt,johnelle-hunt,johnelle-hunt,48.576,85,trucking,Logistics,F,United States,1488028203331,2656.146,772,772
Ji Changqun,Ji,ji-changqun-1,no-pic,13.051,49,real estate,Real Estate,M,China,1488028203331,3866.94,476,476
Jiang Weiping,Jiang,jiang-weiping,jiang-weiping,-40.571,61,chemicals,Manufacturing,M,China,1488028203331,2244.057,942,942
Sumet Jiaravanon,Jiaravanon,sumet-jiaravanon,no-pic,-11.34,82,Diversified,Diversified,M,Thailand,1488028203331,3358.341,582,582
Montri Jiaravanont,Jiaravanont,montri-jiaravanont,no-pic,-11.039,85,diversified,Diversified,M,Thailand,1488028203331,3277.363,601,601
Aerin Lauder Zinterhofer,Lauder Zinterhofer,aerin-lauder-zinterhofer,aerin-lauder-zinterhofer,-4.792,47,cosmetics,Fashion and Retail,F,United States,1488028203332,1561.233,1339,1339
Maritsa Lazari,Lazari,maritsa-lazari,no-pic-female,0,72,real estate,Real Estate,F,United Kingdom,1488028203331,1970.197,1065,1065
Peter Lim,Lim,peter-lim,peter-lim,-3.261,63,investments,Finance and Investments,M,Singapore,1488028203331,2128.321,981,981
Igor Makarov,Makarov,igor-makarov,igor-makarov,0,54,gas,Energy,M,Russia,1488028203331,2091,998,998
Joe Mansueto,Mansueto,joe-mansueto,joe-mansueto,19.482,60,investment research,Finance and Investments,M,United States,1488028203331,2255.857,937,937
Hans Georg Naeder,Naeder,hans-georg-naeder,hans-georg-naeder,0,55,prosthetics,Manufacturing,M,Germany,1488028203331,2192.564,958,958
Maja Oeri,Oeri,maja-oeri,maja-oeri,2.414,62,Roche Holding,Healthcare,F,Switzerland,1488028203331,2143.249,973,973
Alfred Oetker,Oetker,alfred-oetker,alfred-oetker,0,50,consumer goods,Fashion and Retail,M,Germany,1488028203331,1967.707,1069,1069
